episodes,score,discounted_score
24600,3.7480,0.5138
24700,3.7300,0.5342
24800,3.4710,0.4646
24900,3.6570,0.5101
25000,3.3690,0.4520
25100,3.4930,0.4824
25200,3.7700,0.5316
25300,3.6530,0.4719
25400,3.8970,0.4944
25500,3.6680,0.5190
25600,3.8100,0.5290
25700,3.4640,0.4939
25800,3.1620,0.4945
25900,4.0900,0.5106
26000,3.6900,0.5369
26100,4.0970,0.4812
26200,3.6820,0.4603
26300,3.7150,0.4871
26400,3.5840,0.4860
26500,4.1630,0.5347
26600,3.9120,0.5415
26700,3.8100,0.5290
26800,3.4420,0.4761
26900,3.5730,0.4771
27000,3.5880,0.5243
27100,3.9340,0.5594
27200,3.5190,0.5385
27300,3.8280,0.5085
27400,3.7660,0.4933
27500,3.7190,0.5253
27600,3.9880,0.4980
27700,3.6530,0.4719
27800,3.9080,0.5033
27900,3.3480,0.5401
28000,3.5590,0.5358
28100,3.5880,0.5243
28200,3.4750,0.5028
28300,3.9920,0.5363
28400,4.0900,0.5106
28500,3.5520,0.5652
28600,3.9990,0.5069
28700,4.0140,0.5541
28800,3.6280,0.5217
28900,3.3000,0.4662
29000,3.8500,0.5264
29100,3.9010,0.5326
29200,3.9810,0.5274
29300,3.7120,0.5547
29400,3.7700,0.5316
29500,4.2540,0.5383
29600,3.5080,0.5296
29700,3.5950,0.4949
29800,3.6060,0.5039
29900,4.0210,0.5247
30000,3.7920,0.5494
30100,4.0940,0.5488
30200,3.8030,0.5583
30300,3.7480,0.5138
30400,3.7260,0.4960
30500,3.9700,0.5185
30600,4.2830,0.5268
30700,3.9740,0.5567
30800,4.0540,0.5515
30900,3.7700,0.5316
31000,3.7190,0.5253
31100,3.7480,0.5138
31200,3.9010,0.5326
31300,3.9190,0.5122
31400,3.9300,0.5211
31500,4.0760,0.5693
31600,3.9190,0.5122
31700,3.7480,0.5138
31800,3.9230,0.5505
31900,4.2140,0.5410
32000,3.8720,0.5442
32100,4.3270,0.5624
32200,3.8390,0.5174
32300,4.1520,0.5258
32400,3.8320,0.5468
32500,3.8940,0.5620
32600,3.8430,0.5557
32700,3.9590,0.5096
32800,3.5590,0.5358
32900,3.9810,0.5274
33000,3.9630,0.5478
33100,3.9160,0.5798
33200,3.9630,0.5478
33300,3.8610,0.5353
33400,3.9920,0.5363
33500,3.9920,0.5363
33600,3.9300,0.5211
33700,3.9270,0.5887
33800,4.1230,0.5373
33900,4.2210,0.5116
34000,4.1270,0.5756
34100,4.2360,0.5588
34200,3.9010,0.5326
34300,4.0180,0.5924
34400,3.9450,0.5683
34500,3.8100,0.5290
34600,4.1560,0.5640
34700,3.5590,0.5358
34800,4.0830,0.5399
34900,3.8900,0.5237
35000,3.8180,0.6055
35100,3.7080,0.5164
35200,4.1050,0.5578
35300,4.2250,0.5499
35400,4.2360,0.5588
35500,4.0900,0.5106
